PARTICULARS,Income & Expenditure 2025-2026,BUDGET 2026-2027
INCOME:,,
Agriculture/Income Generation,550,12000
Bank Interest,417,2400
Capital Gain from Sale of Fixed Asset,263030,200000
Fixed Asset Received in Kind of Donation,1565024,0
FDR Interest,143177,150000
Husking Mill,108000,120000
Local Donation,170000,200000
Members Subscription Fees,6100,6100
Office Overhead,659292,1512000
Office Rent,827244,922500
Others,62499,70000
Shop Rent,36000,36000
Guest Room,87500,100000
Training Center,29000,50000
Relief & Rehabilitation,0,0
Total Taka:,3957833,3381000
EXPENDITURE:,,
Advertisement and Newspaper Bill,0,0
Agriculture/Income Generation,0,1500
Audit Fees,6000,10000
Bank Charge & Commission,961,1500
Bank Charge on FDR,1150,1500
Depreciation,317942,300000
Education,0,120000
Electricity, Gas & Was a Bill,48827,50000
Entertainment,7847,15000
Fuel and Lubricants,7914,25000
Husking Mill,11349,15000
Interest on Staff Security Money,2958,0
Land and Other Tax,48037,60000
Loss on Disposal of Fixed Asset,662740,150000
Membership/Networking Fees,1900,2000
Others Expenses,13997,30000
Postage and Communication,8831,24000
Program Cost,59000,75000
Repair and Maintance,241046,250000
Salary and Benefits,279448,409790
Stationary & Printing,6041,35000
Traveling and Daily Allowance,49565,50000
Total Expenditure :,1775553,1625290
Surplus/(Deficit) of Income over Expenditure,2182280,1755710
Total Taka :,3957833,3381000
